,text,id,created_at
1,"Credit Default Swaps. Nice figures for Eurobank Ergasias, Credit Suisse, Deutsche Bank. Some banks are not shown (for some reason).

        ",1.64031E+18,2023-03-27T11:12:21.000Z
2,"The chairman of Saudi National Bank resigns for ""personal reasons"" after his comments helped fuel a stock slump in Credit Sui…",1.64031E+18,2023-03-27T11:12:19.000Z
3,"🚨 BREAKING 🚨

SAUDI NATIONAL BANK CHAIRMAN WHO WAS BEHIND THE $1.5 BILLION INVESTMENT INTO CREDIT SUISSE HAS MYSTERIOUSLY “RE…",1.64031E+18,2023-03-27T11:12:08.000Z
4,The question being asked after the forced takeover of the Swiss global bank Credit Suisse a week ago is whether Deutsche…,1.64031E+18,2023-03-27T11:12:07.000Z
5,Credit Suisse's final days. Watch this video to understand the collapse of the Swiss banking giant ,1.64031E+18,2023-03-27T11:12:03.000Z
6,"Deutsche Bank still standing after Credit Suisse, Signature Bank and a dozen regional banks collapsed ",1.64031E+18,2023-03-27T11:11:57.000Z
7,"The question being asked after the forced takeover of the Swiss global bank Credit Suisse a week ago is whether Deutsche is the next one to go. In trading on Friday its shares dropped by as much as 15% at one stage
 
",1.64031E+18,2023-03-27T11:11:39.000Z
8,"Systemic Banks, Capital Adequacy And The Case For Credit Suisse  By ",1.64031E+18,2023-03-27T11:11:37.000Z
9,Saudi National Bank Chair Resigns After Credit Suisse Remark   ,1.64031E+18,2023-03-27T11:11:29.000Z
10,"Why is  in news today?

♦️ Its shares slumped more than 10% 

♦️ The cost of insuring its debt against de…",1.64032E+18,2023-03-27T11:33:01.000Z
